file,code,comments,docstrings,blank,total
help\introspection_utils.py,85,4,128,54,271
core\generator_runtime.py,84,0,4,16,104
engine\reaxff\io\fort74_handler.py,84,10,85,52,231
analysis\timeseries\__init__.py,82,0,1,2,85
core\alias.py,82,0,56,36,174
webui\ui\logs\callbacks.py,82,0,2,12,96
analysis\force_field\optimization.py,81,0,15,21,117
engine\reaxff\io\summary_handler.py,80,6,79,42,207
core\log.py,79,0,8,21,108
engine\reaxff\generators\addmol_generator.py,78,0,32,25,135
workflows\meta\help_workflow.py,78,0,9,19,106
core\study\init.py,77,0,1,19,97
workflows\file_tools\fort7_workflow.py,77,0,1,8,86
utils\export_utils.py,76,0,1,14,91
presentation\plot\renderers\wireframe3d_subplots.py,75,0,2,17,94
analysis\trajectory\pbc.py,74,0,2,19,95
engine\reaxff\io\fort73_handler.py,73,15,57,39,184
webui\presentation\renderers\scatter3d.py,72,0,1,12,85
webui\backend\adapters\result_normalizer.py,71,0,3,15,89
presentation\plot\renderers\errorbar.py,70,0,2,13,85
utils\numerical\autocorrelation.py,70,0,38,21,129
analysis\force_field\__init__.py,68,0,1,2,71
webui\presentation\renderers\single.py,68,0,1,13,82
workflows\file_tools\fort83_workflow.py,68,0,1,11,80
engine\reaxff\io\fort99_handler.py,67,7,50,29,153
engine\reaxff\io\params_handler.py,66,6,52,32,156
webui\presentation\registry.py,64,0,2,6,72
analysis\active_sites\pbc.py,63,0,13,22,98
core\analysis_cli_routing_registry.py,63,0,4,13,80
trash\vacancy_workflow.py,63,8,0,16,87
workflows\file_tools\addmol_workflow.py,63,0,1,10,74
engine\reaxff\io\eregime_handler.py,62,4,48,33,147
core\generator_cli_routing_registry.py,61,0,4,13,78
presentation\plot\__init__.py,61,0,1,23,85
workflows\file_tools\xmolout_workflow.py,61,0,1,8,70
presentation\plot\renderers\tornado.py,60,0,2,7,69
workflows\file_tools\tregime_workflow.py,60,0,1,8,69
workflows\file_tools\vregime_workflow.py,60,0,1,8,69
engine\reaxff\io\fort57_handler.py,59,6,64,38,167
utils\numerical\signal_ops.py,58,0,57,20,135
engine\reaxff\generators\charges_generator.py,57,0,22,20,99
webui\backend\serializer.py,57,0,4,15,76
workflows\file_tools\charges_workflow.py,57,0,1,8,66
workflows\file_tools\kopple2_workflow.py,57,0,1,8,66
webui\presentation\perf_config.py,56,0,3,10,69
presentation\plot\renderers\boxplot.py,55,0,2,13,70
presentation\plot\renderers\dual_yaxis.py,54,0,2,8,64
webui\backend\schemas.py,54,0,10,23,87
workflows\meta\command_alias_workflow.py,54,0,1,11,66
workflows\meta\gen_video_workflow.py,53,0,1,8,62
analysis\trajectory\__init__.py,52,0,1,2,55
engine\ams\rkf_handler.py,51,0,3,13,67
presentation\plot\registry.py,51,1,2,8,62
engine\reaxff\generators\kopple2_generator.py,50,0,22,20,92
core\progress.py,48,0,1,20,69
core\user_command_aliases.py,46,0,5,13,64
engine\reaxff\io\fort13_handler.py,46,1,71,29,147
presentation\plot\renderers\wireframe3d.py,46,0,2,11,59
core\study\naming.py,45,0,1,19,65
analysis\connectivity\__init__.py,44,0,1,2,47
webui\dash_app.py,44,0,2,8,54
webui\ui\analysis\components.py,44,0,5,10,59
core\study\logging.py,43,0,1,17,61
presentation\plot\renderers\directed.py,43,0,2,7,52
webui\ui\shell\components.py,43,0,2,4,49
core\__init__.py,42,0,1,2,45
engine\common\generators\xyz_generator.py,41,0,2,11,54
webui\backend\tabular_payload.py,41,1,4,11,57
webui\ui\layout.py,41,0,2,5,48
core\analysis_task_registry.py,39,0,3,15,57
webui\ui\analysis\tasks\__init__.py,39,1,1,11,52
engine\lammps\lammps_log_handler.py,38,0,3,11,52
webui\backend\adapters\executor_adapter.py,38,0,2,11,51
analysis\active_sites\__init__.py,36,0,1,3,40
analysis\molecular_analysis\__init__.py,36,0,1,2,39
core\result_bundle.py,36,0,3,10,49
presentation\plot\renderers\base.py,36,0,3,12,51
