identider,sensitivity1/3,sensitivity2/3,sensitivity4/3,min_sensitivity,max_sensitivity
4 13  1,0.9988609536296912,1.0016638766916195,0.9981288056138319,0.9981288056138319,1.0016638766916195
4 13  2,0.9998510613270536,1.0001986248304706,0.9996960665764224,0.9996960665764224,1.0001986248304706
4 13  3,0.9995812964835428,1.0002217177602173,0.999581274047673,0.999581274047673,1.0002217177602173
4 13  4,0.999729073534162,1.0002932311289983,0.9982162725432036,0.9982162725432036,1.0002932311289983
5 71  1,1.000120071237221,0.9990910685053788,0.9999999774921219,0.9990910685053788,1.000120071237221
5 71  2,0.9991155730691778,1.0001859837812626,0.9991155505612995,0.9991155505612995,1.0001859837812626
5 71  3,1.0002083912299136,0.9997931584425762,0.99957542827206,0.99957542827206,1.0002083912299136
5 71  5,1.0007683277443016,1.000288986591217,0.9999728139471485,0.9999728139471485,1.0007683277443016
5 71  7,0.9997463304002048,1.000251824971543,0.9997463084544669,0.9997463084544669,1.000251824971543
5 73  1,0.9999968443553284,1.0000032244648973,0.9999896846787173,0.9999896846787173,1.0000032244648973
5 73  2,1.0005265190714772,1.0000848248260432,0.9999600867971878,0.9999600867971878,1.0005265190714772
5 73  3,0.9999971434234867,1.0000028530169165,0.999997121472639,0.999997121472639,1.0000028530169165
5 73  5,0.9999999116027137,1.0000000836511234,0.9999998890584393,0.9999998890584393,1.0000000836511234
5 73  7,1.0000010696626227,0.9999989552546433,0.9999999774558073,0.9999989552546433,1.0000010696626227
5 74  1,1.0000307894347107,0.99997386831418,0.9999288030659998,0.9999288030659998,1.0000307894347107
5 74  2,1.0000087436060388,0.9999995668838702,0.9999987113311859,0.9999987113311859,1.0000087436060388
5 74  3,1.0000310841527238,1.0000665190544682,0.9999983695815753,0.9999983695815753,1.0000665190544682
5 74  5,0.9999989860255665,1.0000013402973937,0.9999981636917072,0.9999981636917072,1.0000013402973937
5 74  7,0.9999919309386699,1.0000120840126552,0.9999889287732042,0.9999889287732042,1.0000120840126552
5 95  1,1.001803506886657,0.9990046329575184,0.9987882921817395,0.9987882921817395,1.001803506886657
5 95  2,0.9995366872481165,1.0002994847544036,0.9995366646702462,0.9995366646702462,1.0002994847544036
5 95  3,0.9999200738345195,0.9998432779490328,0.9998432559550411,0.9998432559550411,0.9999200738345195
5 95  5,0.9979515139206602,1.0027088920481322,0.9999999780025597,0.9979515139206602,1.0027088920481322
5 95  7,1.001378732387398,0.9983826601867541,0.9983826381893138,0.9983826381893138,1.001378732387398
5102  1,0.9984827090388356,1.0015803650023782,0.9966025172463971,0.9966025172463971,1.0015803650023782
5102  2,1.0029049291392667,0.9974145546107869,0.9959438170195141,0.9959438170195141,1.0029049291392667
5102  3,1.0014650202943982,0.9988552435915835,0.9982391941027183,0.9982391941027183,1.0014650202943982
5102  5,1.0040106686589096,0.9974436331761282,0.9974181447048911,0.9974181447048911,1.0040106686589096
5102  7,1.000066701554111,1.000126987353024,0.9999976319866444,0.9999976319866444,1.000126987353024
3 18  1,1.000604864185413,0.9995496319044173,0.9990990522611731,0.9990990522611731,1.000604864185413
3 18  4,0.9998410662918863,1.0001869478851608,0.9995200011527737,0.9995200011527737,1.0001869478851608
3 18  8,1.0000123355481665,0.9999493033015551,0.9999999776464255,0.9999493033015551,1.0000123355481665
3 18  9,0.9999047073164701,1.0001123230864717,0.9997147973898477,0.9997147973898477,1.0001123230864717
3 18 13,0.9996569851505746,1.000160906751743,0.9996569627907477,0.9996569627907477,1.000160906751743
3 18 14,1.0000700682671342,0.9999380299720123,0.999730879239299,0.999730879239299,1.0000700682671342
4 12  1,0.9999628545591557,1.0000377821783657,0.999755857419209,0.999755857419209,1.0000377821783657
