frame_index,iter,mu_x (debye),mu_y (debye),mu_z (debye),P_x (uC/cm^2),P_y (uC/cm^2),P_z (uC/cm^2),volume (angstrom^3),field_z
0,0,7.528276515441668,-0.23363434001856678,33.58417750741794,1.220634732811793,-0.03788147122641813,5.445338445577261,2057.2599715152483,0.0
1,100,16.92342778741209,140.90953757067328,35.92545447083796,2.723706753043625,22.67839966410179,5.7819493885963995,2072.561002167191,0.0
2,200,3.150249293691833,-100.14947034088985,34.742441541998886,0.5079752596402466,-16.149024555332,5.602191800557669,2068.6246666135435,0.0
3,300,14.200073311913588,-76.80628876164556,34.19932286960441,2.2824799646587266,-12.345627477230556,5.497103257155499,2075.214291390545,0.0
4,400,10.11348593686656,-8.15280066231722,39.24134519373499,1.6180835666060622,-1.3043883044739506,6.278327392342342,2084.8713665277974,0.0
5,500,5.60486588321321,-148.909721700836,36.167765174953566,0.8970414468136892,-23.832540328790667,5.788538936806516,2084.164779616667,0.0
6,600,12.443776723287714,369.04386238906,40.13665636959402,1.981450989622648,58.763697115884035,6.391051467103491,2094.827239102612,0.0
7,700,13.03737078036266,159.35581483559554,36.4742225279994,2.090258313282563,25.54923245964127,5.847846789362243,2080.508021989949,0.0
8,800,12.978336373865897,-147.50778539782493,40.09033787001675,2.070660398900583,-23.534490165307673,6.3963109457657366,2090.689246247732,0.0
9,900,3.7368593476621332,72.02725719351902,40.730648708366694,0.5943235885126971,11.455474767269626,6.477949275225233,2097.312383573165,0.0
10,1000,21.389784782918312,2.60658886788722,28.275484980684304,3.4848775590378875,0.42467201720478565,4.60671316145219,2047.3789234012668,0.0
11,1100,4.583406184297706,-206.44877278991024,43.52839939038708,0.7322557981746851,-32.98274358038889,6.954199902262919,2087.876779497014,0.0
12,1200,10.548543176300289,31.021223684946065,33.05137093033482,1.730681768418906,5.0896000867876205,5.422682936815115,2033.0806325435335,0.0
13,1300,21.495306089333585,-44.81716038491424,32.370852949361044,3.4621159621480473,-7.21842274317533,5.213773008793875,2071.00601647708,0.0
14,1400,-2.8741438687488507,-316.7233987886651,30.521988047402587,-0.4665629655026923,-51.414060997321634,4.954668209644255,2054.8379495827076,0.0
15,1500,13.082134915005664,-1.7551735034033862,32.57461793921056,2.1395534411559396,-0.28705463851507873,5.3275047504849695,2039.552186134361,0.0
16,1600,13.406212342595072,210.70772161316083,33.56346296852291,2.176121498435836,34.20247204588694,5.448084176296106,2054.954884340622,0.0
17,1700,7.037148446545792,-101.17036484675873,32.35827489440322,1.125968168614412,-16.187609411660514,5.177436258326602,2084.7305777046035,0.0
18,1800,14.366568894934371,31.428231268147755,36.89288167608692,2.307477440383175,5.047825627172989,5.925527020464359,2076.801234207786,0.0
19,1900,3.6257979293776454,-73.15053161414649,32.39829293487496,0.583094376087797,-11.763938427578825,5.210235863423644,2074.168722457848,0.0
20,2000,11.643671876610561,218.44484293925547,34.976962025173385,1.8725525655477642,35.130623347285045,5.625046864028507,2074.126678006302,0.0
21,2100,12.792762703644664,199.25032001548666,37.795487766462145,2.0624878235684045,32.123738116159146,6.0935026397345755,2068.9609222158133,0.0
22,2200,3.1092120132741083,-311.41873249987844,40.612520479735224,0.5032946342023631,-50.40999982894126,6.574033405126406,2060.66490097136,0.0
23,2300,10.373501059793405,144.94277186529752,35.14784110847549,1.6676583076737481,23.30119949332112,5.6504153114255695,2074.90215348811,0.0
24,2400,4.306473599547479,65.57482725106999,40.69663784334761,0.6828036882078583,10.397076137963243,6.452568156929412,2103.803958436029,0.0
25,2500,9.929871349571188,-366.122828103202,35.475959711976515,1.5854090652777406,-58.45538479257405,5.664112469012432,2089.2077192495262,0.032600000000000004
26,2600,4.688842377933407,81.08537189671542,32.96317972902181,0.7489831122388735,12.952359944122424,5.265449966695967,2088.2041048396177,0.032600000000000004
27,2700,4.087190897663337,101.05254704921983,33.267190858164454,0.6502950556658976,16.07802849290012,5.292997139753381,2096.4948870850026,0.032600000000000004
28,2800,2.136075815493787,-151.55502530774814,20.848887352339084,0.3408109639771241,-24.180609085156004,3.326440637013907,2090.655341620818,0.032600000000000004
29,2900,4.229107860018084,-127.93391106859261,29.047322009592087,0.6905428174368352,-20.889475113704403,4.742943486764828,2042.8547385943518,0.032600000000000004
30,3000,10.925852643564573,-113.77055277767042,27.7579075391241,1.7813018759363035,-18.548639241308365,4.5255244038671805,2045.96005671822,0.032600000000000004
31,3100,5.964572519436653,-56.77132363370823,19.285955519451694,0.9657138162051362,-9.191748682519725,3.1225563346174705,2060.2039503046767,0.032600000000000004
32,3200,-1.384583334656455,-44.93054789896251,28.981539869607534,-0.22719774037376061,-7.372701014729573,4.7556114580569115,2032.7989576227296,0.032600000000000004
33,3300,11.972713223684956,-365.00792437075177,23.978801079952234,1.9729240773139645,-60.14784693722153,3.951347794931926,2024.2378647137857,0.032600000000000004
34,3400,-5.879159395409293,-196.0127010605401,24.72377465195384,-0.9692547225992795,-32.31520416689483,4.076030896627582,2023.2830640135119,0.032600000000000004
35,3500,2.9733123611326415,303.71368043954124,26.297014113171524,0.4884076810823255,49.88917286845309,4.31964829874473,2030.6608132555,0.032600000000000004
36,3600,4.975301686064887,-188.24932796560398,23.42516473510275,0.8180771455079968,-30.953393901165647,3.8517446998685423,2028.637723566355,0.032600000000000004
37,3700,-5.454806480947808,92.63032356399647,23.988624545292193,-0.9053716758240828,15.374490657034352,3.9815566842092927,2009.7025393406823,0.032600000000000004
38,3800,19.40356879655236,24.898916627077003,26.67809592100436,3.175253519913554,4.074527397053262,4.365677204330154,2038.3677791429411,0.032600000000000004
39,3900,-13.30036264110387,95.8754072747631,25.86570860856134,-2.1396229139169547,15.42343045987639,4.1610040505620125,2073.5073503439644,0.032600000000000004
40,4000,21.34359712262599,-198.78803725360987,29.030324766545014,3.4514668684079934,-32.14595555167008,4.694485354796955,2062.73407507974,0.032600000000000004
41,4100,-4.173031650966863,-52.06134485144884,28.79419895644001,-0.6689111000218041,-8.345110788970064,4.615531562943307,2080.9546367222124,0.032600000000000004
42,4200,11.015130185587454,222.65036730646796,34.41799037708581,1.7495407032538584,35.36371097154793,5.46663308325664,2100.123915699538,0.032600000000000004
43,4300,4.780860484216779,-121.52073593745678,26.501999549193453,0.7622375264679337,-19.37468484623739,4.225352036421304,2092.1608989980296,0.032600000000000004
44,4400,2.0199408686029314,73.08614024195914,25.987311571224797,0.326965658269048,11.830375000573145,4.206538204460007,2060.7051328839175,0.032600000000000004
