iter,molecular_formula,molecular_mass
5750,N128Al128,5245.696
5775,N128Al128,5245.696
5800,N128Al128,5245.696
5825,N128Al128,5245.696
5850,N128Al128,5245.696
5875,N128Al128,5245.696
5900,N128Al128,5245.696
5925,N128Al128,5245.696
5950,N128Al128,5245.696
5975,N128Al128,5245.696
6000,N128Al128,5245.696
6025,N128Al128,5245.696
6050,N128Al128,5245.696
6075,N128Al128,5245.696
6100,N128Al128,5245.696
6125,N128Al128,5245.696
6150,N128Al128,5245.696
6175,N128Al128,5245.696
6200,N128Al128,5245.696
6225,N128Al128,5245.696
6250,N128Al128,5245.696
6275,N128Al128,5245.696
6300,N128Al128,5245.696
6325,N128Al128,5245.696
6350,N128Al128,5245.696
6375,N128Al128,5245.696
6400,N128Al128,5245.696
6425,N128Al128,5245.696
6450,N128Al128,5245.696
6475,N128Al128,5245.696
6500,N128Al128,5245.696
6525,N128Al128,5245.696
6550,N128Al128,5245.696
6575,N128Al128,5245.696
6600,N128Al128,5245.696
6625,N128Al128,5245.696
6650,N128Al128,5245.696
6675,N128Al128,5245.696
6700,N128Al128,5245.696
6725,N128Al128,5245.696
6750,N128Al128,5245.696
6775,N128Al128,5245.696
6800,N128Al128,5245.696
6825,N128Al128,5245.696
6850,N128Al128,5245.696
6875,N128Al128,5245.696
6900,N128Al128,5245.696
6925,N128Al128,5245.696
6950,N128Al128,5245.696
6975,N128Al128,5245.696
7000,N128Al128,5245.696
7025,N128Al128,5245.696
7050,N128Al128,5245.696
7075,N128Al128,5245.696
7100,N128Al128,5245.696
7125,N128Al128,5245.696
7150,N128Al128,5245.696
7175,N128Al128,5245.696
7200,N128Al128,5245.696
7225,N128Al128,5245.696
7250,N128Al128,5245.696
7275,N128Al128,5245.696
7300,N128Al128,5245.696
7325,N128Al128,5245.696
7350,N128Al128,5245.696
7375,N128Al128,5245.696
7400,N128Al128,5245.696
7425,N128Al128,5245.696
7450,N128Al128,5245.696
7475,N128Al128,5245.696
7500,N128Al128,5245.696
7525,N128Al128,5245.696
7550,N128Al128,5245.696
7575,N128Al128,5245.696
7600,N128Al128,5245.696
7625,N128Al128,5245.696
7650,N128Al128,5245.696
7675,N128Al128,5245.696
7700,N128Al128,5245.696
7725,N128Al128,5245.696
7750,N128Al128,5245.696
7775,N128Al128,5245.696
7800,N128Al128,5245.696
7825,N128Al128,5245.696
7850,N128Al128,5245.696
7875,N128Al128,5245.696
7900,N128Al128,5245.696
7925,N128Al128,5245.696
7950,N128Al128,5245.696
7975,N128Al128,5245.696
8000,N128Al128,5245.696
8025,N128Al128,5245.696
8050,N128Al128,5245.696
8075,N128Al128,5245.696
8100,N128Al128,5245.696
8125,N128Al128,5245.696
8150,N128Al128,5245.696
8175,N128Al128,5245.696
8200,N128Al128,5245.696
8225,N128Al128,5245.696
8250,N128Al128,5245.696
8275,N128Al128,5245.696
8300,N128Al128,5245.696
8325,N128Al128,5245.696
8350,N128Al128,5245.696
8375,N128Al128,5245.696
8400,N128Al128,5245.696
8425,N128Al128,5245.696
8450,N128Al128,5245.696
8475,N128Al128,5245.696
8500,N128Al128,5245.696
8525,N128Al128,5245.696
8550,N128Al128,5245.696
8575,N128Al128,5245.696
8600,N128Al128,5245.696
8625,N128Al128,5245.696
8650,N128Al128,5245.696
8675,N128Al128,5245.696
8700,N128Al128,5245.696
8725,N128Al128,5245.696
8750,N128Al128,5245.696
8775,N128Al128,5245.696
8800,N128Al128,5245.696
8825,N128Al128,5245.696
8850,N128Al128,5245.696
8875,N128Al128,5245.696
8900,N128Al128,5245.696
8925,N128Al128,5245.696
8950,N128Al128,5245.696
8975,N128Al128,5245.696
9000,N128Al128,5245.696
9025,N128Al128,5245.696
9050,N128Al128,5245.696
9075,N128Al128,5245.696
9100,N128Al128,5245.696
9125,N128Al128,5245.696
9150,N128Al128,5245.696
9175,N128Al128,5245.696
9200,N128Al128,5245.696
9225,N128Al128,5245.696
9250,N128Al128,5245.696
9275,N128Al128,5245.696
9300,N128Al128,5245.696
9325,N128Al128,5245.696
9350,N128Al128,5245.696
9375,N128Al128,5245.696
9400,N128Al128,5245.696
9425,N128Al128,5245.696
9450,N128Al128,5245.696
9475,N128Al128,5245.696
9500,N128Al128,5245.696
9525,N128Al128,5245.696
9550,N128Al128,5245.696
9575,N128Al128,5245.696
9600,N128Al128,5245.696
9625,N128Al128,5245.696
9650,N128Al128,5245.696
9675,N128Al128,5245.696
9700,N128Al128,5245.696
9725,N128Al128,5245.696
9750,N128Al128,5245.696
9775,N128Al128,5245.696
9800,N128Al128,5245.696
9825,N128Al128,5245.696
9850,N128Al128,5245.696
9875,N128Al128,5245.696
9900,N128Al128,5245.696
9925,N128Al128,5245.696
9950,N128Al128,5245.696
9975,N128Al128,5245.696
10000,N128Al128,5245.696
10025,N128Al128,5245.696
10050,N128Al128,5245.696
10075,N128Al128,5245.696
10100,N128Al128,5245.696
10125,N128Al128,5245.696
10150,N128Al128,5245.696
10175,N128Al128,5245.696
10200,N128Al128,5245.696
10225,N128Al128,5245.696
10250,N128Al128,5245.696
10275,N128Al128,5245.696
10300,N128Al128,5245.696
10325,N128Al128,5245.696
10350,N128Al128,5245.696
10375,N128Al128,5245.696
10400,N128Al128,5245.696
10425,N128Al128,5245.696
10450,N128Al128,5245.696
10475,N128Al128,5245.696
10500,N128Al128,5245.696
10525,N128Al128,5245.696
10550,N128Al128,5245.696
10575,N128Al128,5245.696
10600,N128Al128,5245.696
10625,N128Al128,5245.696
10650,N128Al128,5245.696
10675,N128Al128,5245.696
10700,N128Al128,5245.696
10725,N128Al128,5245.696
10750,N128Al128,5245.696
10775,N128Al128,5245.696
10800,N128Al128,5245.696
10825,N128Al128,5245.696
10850,N128Al128,5245.696
10875,N128Al128,5245.696
10900,N128Al128,5245.696
10925,N128Al128,5245.696
10950,N128Al128,5245.696
10975,N128Al128,5245.696
11000,N128Al128,5245.696
11025,N128Al128,5245.696
11050,N128Al128,5245.696
11075,N128Al128,5245.696
11100,N128Al128,5245.696
11125,N128Al128,5245.696
11150,N128Al128,5245.696
11175,N128Al128,5245.696
11200,N128Al128,5245.696
11225,N128Al128,5245.696
11250,N128Al128,5245.696
11275,N128Al128,5245.696
11300,N128Al128,5245.696
11325,N128Al128,5245.696
11350,N128Al128,5245.696
11375,N128Al128,5245.696
11400,N128Al128,5245.696
11425,N128Al128,5245.696
11450,N128Al128,5245.696
11475,N128Al128,5245.696
11500,N128Al128,5245.696
11525,N128Al128,5245.696
11550,N128Al128,5245.696
11575,N128Al128,5245.696
11600,N128Al128,5245.696
11625,N128Al128,5245.696
11650,N128Al128,5245.696
11675,N128Al128,5245.696
11700,N128Al128,5245.696
11725,N128Al128,5245.696
11750,N128Al128,5245.696
11775,N128Al128,5245.696
11800,N128Al128,5245.696
11825,N128Al128,5245.696
11850,N128Al128,5245.696
11875,N128Al128,5245.696
11900,N128Al128,5245.696
11925,N128Al128,5245.696
11950,N128Al128,5245.696
11975,N128Al128,5245.696
12000,N128Al128,5245.696
12025,N128Al128,5245.696
12050,N128Al128,5245.696
12075,N128Al128,5245.696
12100,N128Al128,5245.696
12125,N128Al128,5245.696
12150,N128Al128,5245.696
12175,N128Al128,5245.696
12200,N128Al128,5245.696
12225,N128Al128,5245.696
12250,N128Al128,5245.696
12275,N128Al128,5245.696
12300,N128Al128,5245.696
12325,N128Al128,5245.696
12350,N128Al128,5245.696
12375,N128Al128,5245.696
12400,N128Al128,5245.696
12425,N128Al128,5245.696
12450,N128Al128,5245.696
12475,N128Al128,5245.696
12500,N128Al128,5245.696
12525,N128Al128,5245.696
12550,N128Al128,5245.696
12575,N128Al128,5245.696
12600,N128Al128,5245.696
12625,N128Al128,5245.696
12650,N128Al128,5245.696
12675,N128Al128,5245.696
12700,N128Al128,5245.696
12725,N128Al128,5245.696
12750,N128Al128,5245.696
12775,N128Al128,5245.696
12800,N128Al128,5245.696
12825,N128Al128,5245.696
12850,N128Al128,5245.696
12875,N128Al128,5245.696
12900,N128Al128,5245.696
12925,N128Al128,5245.696
12950,N128Al128,5245.696
12975,N128Al128,5245.696
13000,N128Al128,5245.696
13025,N128Al128,5245.696
13050,N128Al128,5245.696
13075,N128Al128,5245.696
13100,N128Al128,5245.696
13125,N128Al128,5245.696
13150,N128Al128,5245.696
13175,N128Al128,5245.696
13200,N128Al128,5245.696
13225,N128Al128,5245.696
13250,N128Al128,5245.696
13275,N128Al128,5245.696
13300,N128Al128,5245.696
13325,N128Al128,5245.696
13350,N128Al128,5245.696
13375,N128Al128,5245.696
13400,N128Al128,5245.696
13425,N128Al128,5245.696
13450,N128Al128,5245.696
13475,N128Al128,5245.696
13500,N128Al128,5245.696
13525,N128Al128,5245.696
13550,N128Al128,5245.696
13575,N128Al128,5245.696
13600,N128Al128,5245.696
13625,N128Al128,5245.696
13650,N128Al128,5245.696
13675,N128Al128,5245.696
13700,N128Al128,5245.696
13725,N128Al128,5245.696
13750,N128Al128,5245.696
13775,N128Al128,5245.696
13800,N128Al128,5245.696
13825,N128Al128,5245.696
13850,N128Al128,5245.696
13875,N128Al128,5245.696
13900,N128Al128,5245.696
13925,N128Al128,5245.696
13950,N128Al128,5245.696
13975,N128Al128,5245.696
