,section,weight,op1,id1,n1,op2,id2,n2,lit,inline_comment,group_comment
69,ENERGY,1.0,+,c13_0,1,/1,-,1,-0.0001,,Volume C13_EOS
70,ENERGY,1.0,+,c13_0,1,/1,-,1,-0.0111,,Volume C13_EOS
71,ENERGY,1.0,+,c13_0,1,/1,-,1,-0.0446,,Volume C13_EOS
72,ENERGY,1.0,+,c13_0,1,/1,-,1,-0.1003,,Volume C13_EOS
73,ENERGY,1.0,+,c13_0,1,/1,-,1,-0.1782,,Volume C13_EOS
74,ENERGY,1.0,+,c13_0,1,/1,-,1,-0.2785,,Volume C13_EOS
75,ENERGY,1.0,+,c13_0,1,/1,-,1,-0.401,,Volume C13_EOS
76,ENERGY,1.0,+,c23_0,1,/1,-,1,-0.401,,Volume C23_EOS
77,ENERGY,1.0,+,c23_0,1,/1,-,1,-0.2785,,Volume C23_EOS
78,ENERGY,1.0,+,c23_0,1,/1,-,1,-0.1782,,Volume C23_EOS
79,ENERGY,1.0,+,c23_0,1,/1,-,1,-0.1003,,Volume C23_EOS
80,ENERGY,1.0,+,c23_0,1,/1,-,1,-0.0446,,Volume C23_EOS
81,ENERGY,1.0,+,c23_0,1,/1,-,1,-0.0111,,Volume C23_EOS
82,ENERGY,1.0,+,c23_0,1,/1,-,1,-0.0001,,Volume C23_EOS
83,ENERGY,1.0,+,c23_0,1,/1,-,1,-0.0111,,Volume C23_EOS
84,ENERGY,1.0,+,c23_0,1,/1,-,1,-0.0446,,Volume C23_EOS
85,ENERGY,1.0,+,c23_0,1,/1,-,1,-0.1003,,Volume C23_EOS
86,ENERGY,1.0,+,c23_0,1,/1,-,1,-0.1782,,Volume C23_EOS
87,ENERGY,1.0,+,c23_0,1,/1,-,1,-0.2785,,Volume C23_EOS
88,ENERGY,1.0,+,c23_0,1,/1,-,1,-0.401,,Volume C23_EOS
89,ENERGY,1.0,+,c44_0,1,/1,-,1,-0.5592,,Volume C44_EOS
90,ENERGY,1.0,+,c44_0,1,/1,-,1,-0.3884,,Volume C44_EOS
91,ENERGY,1.0,+,c44_0,1,/1,-,1,-0.2485,,Volume C44_EOS
92,ENERGY,1.0,+,c44_0,1,/1,-,1,-0.1398,,Volume C44_EOS
93,ENERGY,1.0,+,c44_0,1,/1,-,1,-0.0621,,Volume C44_EOS
94,ENERGY,1.0,+,c44_0,1,/1,-,1,-0.0155,,Volume C44_EOS
95,ENERGY,1.0,+,c44_0,1,/1,-,1,-0.0001,,Volume C44_EOS
96,ENERGY,1.0,+,c44_0,1,/1,-,1,-0.0155,,Volume C44_EOS
97,ENERGY,1.0,+,c44_0,1,/1,-,1,-0.0621,,Volume C44_EOS
98,ENERGY,1.0,+,c44_0,1,/1,-,1,-0.1398,,Volume C44_EOS
99,ENERGY,1.0,+,c44_0,1,/1,-,1,-0.2485,,Volume C44_EOS
100,ENERGY,1.0,+,c44_0,1,/1,-,1,-0.3884,,Volume C44_EOS
101,ENERGY,1.0,+,c44_0,1,/1,-,1,-0.5592,,Volume C44_EOS
102,ENERGY,1.0,+,c55_0,1,/1,-,1,-0.5592,,Volume C55_EOS
103,ENERGY,1.0,+,c55_0,1,/1,-,1,-0.3884,,Volume C55_EOS
104,ENERGY,1.0,+,c55_0,1,/1,-,1,-0.2485,,Volume C55_EOS
105,ENERGY,1.0,+,c55_0,1,/1,-,1,-0.1398,,Volume C55_EOS
106,ENERGY,1.0,+,c55_0,1,/1,-,1,-0.0621,,Volume C55_EOS
107,ENERGY,1.0,+,c55_0,1,/1,-,1,-0.0155,,Volume C55_EOS
108,ENERGY,1.0,+,c55_0,1,/1,-,1,-0.0001,,Volume C55_EOS
109,ENERGY,1.0,+,c55_0,1,/1,-,1,-0.0155,,Volume C55_EOS
110,ENERGY,1.0,+,c55_0,1,/1,-,1,-0.0621,,Volume C55_EOS
111,ENERGY,1.0,+,c55_0,1,/1,-,1,-0.1398,,Volume C55_EOS
112,ENERGY,1.0,+,c55_0,1,/1,-,1,-0.2485,,Volume C55_EOS
113,ENERGY,1.0,+,c55_0,1,/1,-,1,-0.3884,,Volume C55_EOS
114,ENERGY,1.0,+,c55_0,1,/1,-,1,-0.5592,,Volume C55_EOS
115,ENERGY,1.0,+,c66_0,1,/1,-,1,-0.3679,,Volume C66_EOS
116,ENERGY,1.0,+,c66_0,1,/1,-,1,-0.2555,,Volume C66_EOS
117,ENERGY,1.0,+,c66_0,1,/1,-,1,-0.1635,,Volume C66_EOS
118,ENERGY,1.0,+,c66_0,1,/1,-,1,-0.092,,Volume C66_EOS
119,ENERGY,1.0,+,c66_0,1,/1,-,1,-0.0409,,Volume C66_EOS
120,ENERGY,1.0,+,c66_0,1,/1,-,1,-0.0102,,Volume C66_EOS
121,ENERGY,1.0,+,c66_0,1,/1,-,1,-0.0001,,Volume C66_EOS
122,ENERGY,1.0,+,c66_0,1,/1,-,1,-0.0102,,Volume C66_EOS
123,ENERGY,1.0,+,c66_0,1,/1,-,1,-0.0409,,Volume C66_EOS
124,ENERGY,1.0,+,c66_0,1,/1,-,1,-0.092,,Volume C66_EOS
125,ENERGY,1.0,+,c66_0,1,/1,-,1,-0.1635,,Volume C66_EOS
126,ENERGY,1.0,+,c66_0,1,/1,-,1,-0.2555,,Volume C66_EOS
127,ENERGY,1.0,+,c66_0,1,/1,-,1,-0.3679,,Volume C66_EOS
128,ENERGY,1.0,+,bulk_0,1,/1,-,1,-26.058,,heat of formation for ZnPt
129,ENERGY,1.0,+,Zn_Pt111_top,1,/1,-,1,-40.11,,Mengyi's ZnPt trainings on Jan 26 2025
130,ENERGY,0.5,+,Zn_Pt111_bridge,1,/1,-,1,-51.34,,Mengyi's ZnPt trainings on Jan 26 2025
131,ENERGY,0.5,+,Zn_Pt111_hcp1,1,/1,-,1,-54.89,,Mengyi's ZnPt trainings on Jan 26 2025
132,ENERGY,0.5,+,Zn_Pt111_hcp2,1,/1,-,1,-54.69,,Mengyi's ZnPt trainings on Jan 26 2025
133,ENERGY,0.25,+,Zn_Pt111_hcp1,1,/1,-,1,-3.59,,Mengyi's ZnPt trainings on Jan 26 2025
