lineno,section,title,ffield_value,qm_value,weight,error,total_ff_error,difference
71,ENERGY,Energy +c13_0/  1 -c13_c1/  1,-0.0783,-0.0111,1.0,0.0045,2.0219,0.0672
84,ENERGY,Energy +c23_0/  1 -c23_c1/  1,-0.0783,-0.0111,1.0,0.0045,3.1137,0.0672
73,ENERGY,Energy +c13_0/  1 -c13_e1/  1,0.059,-0.0111,1.0,0.0049,2.0268,-0.0701
86,ENERGY,Energy +c23_0/  1 -c23_e1/  1,0.059,-0.0111,1.0,0.0049,3.1186,-0.0701
31,ENERGY,Energy +c22_0/  1 -c22_c2/  1,-0.1326,-0.0587,1.0,0.0055,1.0495,0.0739
18,ENERGY,Energy +c11_0/  1 -c11_c2/  1,-0.1326,-0.0587,1.0,0.0055,0.6436,0.0739
44,ENERGY,Energy +c33_0/  1 -c33_c2/  1,0.03,-0.0448,1.0,0.0056,1.5575,-0.0748
121,ENERGY,Energy +c66_0/  1 -c66_c3/  1,-0.1721,-0.092,1.0,0.0064,7.8908,0.0801
127,ENERGY,Energy +c66_0/  1 -c66_e3/  1,-0.1722,-0.092,1.0,0.0064,7.8997,0.0802
35,ENERGY,Energy +c22_0/  1 -c22_e2/  1,0.029,-0.0587,1.0,0.0077,1.0604,-0.0877
22,ENERGY,Energy +c11_0/  1 -c11_e2/  1,0.029,-0.0587,1.0,0.0077,0.6545,-0.0877
3,ENERGY,Energy +bulk_0/  1 -bulk_c5/  1,-1.1863,-1.2904,1.0,0.0108,0.0108,-0.10410000000000008
17,ENERGY,Energy +c11_0/  1 -c11_c3/  1,-0.2421,-0.132,1.0,0.0121,0.6382,0.1101
30,ENERGY,Energy +c22_0/  1 -c22_c3/  1,-0.2421,-0.132,1.0,0.0121,1.0441,0.1101
43,ENERGY,Energy +c33_0/  1 -c33_c3/  1,0.0248,-0.1007,1.0,0.0158,1.5519,-0.1255
10,ENERGY,Energy +bulk_0/  1 -bulk_e2/  1,-0.0725,-0.204,1.0,0.0173,0.034,-0.1315
70,ENERGY,Energy +c13_0/  1 -c13_c2/  1,-0.178,-0.0446,1.0,0.0178,2.0174,0.1334
83,ENERGY,Energy +c23_0/  1 -c23_c2/  1,-0.178,-0.0446,1.0,0.0178,3.1092,0.1334
36,ENERGY,Energy +c22_0/  1 -c22_e3/  1,0.0089,-0.132,1.0,0.0198,1.0802,-0.1409
23,ENERGY,Energy +c11_0/  1 -c11_e3/  1,0.0089,-0.132,1.0,0.0198,0.6743,-0.1409
101,ENERGY,Energy +c44_0/  1 -c44_e3/  1,-0.2842,-0.1398,1.0,0.0209,4.7475,0.1444
114,ENERGY,Energy +c55_0/  1 -c55_e3/  1,-0.2842,-0.1398,1.0,0.0209,6.6767,0.1444
108,ENERGY,Energy +c55_0/  1 -c55_c3/  1,-0.2842,-0.1398,1.0,0.0209,6.6482,0.1444
95,ENERGY,Energy +c44_0/  1 -c44_c3/  1,-0.2842,-0.1398,1.0,0.0209,4.719,0.1444
87,ENERGY,Energy +c23_0/  1 -c23_e2/  1,0.1008,-0.0446,1.0,0.0211,3.1397,-0.1454
74,ENERGY,Energy +c13_0/  1 -c13_e2/  1,0.1008,-0.0446,1.0,0.0211,2.048,-0.1454
29,ENERGY,Energy +c22_0/  1 -c22_c4/  1,-0.3832,-0.2346,1.0,0.0221,1.0319,0.14859999999999998
16,ENERGY,Energy +c11_0/  1 -c11_c4/  1,-0.3832,-0.2346,1.0,0.0221,0.626,0.14859999999999998
128,ENERGY,Energy +c66_0/  1 -c66_e4/  1,-0.3168,-0.1635,1.0,0.0235,7.9232,0.15330000000000002
120,ENERGY,Energy +c66_0/  1 -c66_c4/  1,-0.3167,-0.1635,1.0,0.0235,7.8844,0.15319999999999998
42,ENERGY,Energy +c33_0/  1 -c33_c4/  1,0.0068,-0.1791,1.0,0.0346,1.5362,-0.1859
28,ENERGY,Energy +c22_0/  1 -c22_c5/  1,-0.5575,-0.3666,1.0,0.0365,1.0098,0.19090000000000001
15,ENERGY,Energy +c11_0/  1 -c11_c5/  1,-0.5575,-0.3666,1.0,0.0365,0.604,0.19090000000000001
82,ENERGY,Energy +c23_0/  1 -c23_c3/  1,-0.3013,-0.1003,1.0,0.0404,3.0914,0.201
69,ENERGY,Energy +c13_0/  1 -c13_c3/  1,-0.3013,-0.1003,1.0,0.0404,1.9996,0.201
37,ENERGY,Energy +c22_0/  1 -c22_e4/  1,-0.0324,-0.2346,1.0,0.0409,1.1211,-0.2022
24,ENERGY,Energy +c11_0/  1 -c11_e4/  1,-0.0324,-0.2346,1.0,0.0409,0.7152,-0.2022
75,ENERGY,Energy +c13_0/  1 -c13_e3/  1,0.1274,-0.1003,1.0,0.0519,2.0998,-0.2277
88,ENERGY,Energy +c23_0/  1 -c23_e3/  1,0.1275,-0.1003,1.0,0.0519,3.1916,-0.2278
11,ENERGY,Energy +bulk_0/  1 -bulk_e3/  1,-0.2205,-0.4578,1.0,0.0563,0.0903,-0.23729999999999998
14,ENERGY,Energy +c11_0/  1 -c11_c6/  1,-0.7676,-0.528,1.0,0.0574,0.5675,0.23959999999999992
27,ENERGY,Energy +c22_0/  1 -c22_c6/  1,-0.7676,-0.528,1.0,0.0574,0.9734,0.23959999999999992
41,ENERGY,Energy +c33_0/  1 -c33_c5/  1,-0.0234,-0.2798,1.0,0.0658,1.5016,-0.2564
119,ENERGY,Energy +c66_0/  1 -c66_c5/  1,-0.5175,-0.2555,1.0,0.0686,7.8609,0.26199999999999996
129,ENERGY,Energy +c66_0/  1 -c66_e5/  1,-0.5175,-0.2555,1.0,0.0686,7.9918,0.26199999999999996
68,ENERGY,Energy +c13_0/  1 -c13_c4/  1,-0.4503,-0.1782,1.0,0.0741,1.9592,0.2721
81,ENERGY,Energy +c23_0/  1 -c23_c4/  1,-0.4503,-0.1782,1.0,0.0741,3.051,0.2721
38,ENERGY,Energy +c22_0/  1 -c22_e5/  1,-0.0934,-0.3666,1.0,0.0746,1.1957,-0.2732
25,ENERGY,Energy +c11_0/  1 -c11_e5/  1,-0.0934,-0.3666,1.0,0.0746,0.7898,-0.2732
102,ENERGY,Energy +c44_0/  1 -c44_e4/  1,-0.5291,-0.2485,1.0,0.0787,4.8263,0.2806
115,ENERGY,Energy +c55_0/  1 -c55_e4/  1,-0.5291,-0.2485,1.0,0.0787,6.7555,0.2806
94,ENERGY,Energy +c44_0/  1 -c44_c4/  1,-0.5291,-0.2485,1.0,0.0787,4.6981,0.2806
107,ENERGY,Energy +c55_0/  1 -c55_c4/  1,-0.5291,-0.2485,1.0,0.0787,6.6274,0.2806
76,ENERGY,Energy +c13_0/  1 -c13_e4/  1,0.1408,-0.1782,1.0,0.1018,2.2016,-0.319
