section,weight,op1,id1,n1,op2,id2,n2,lit,inline_comment,group_comment
ENERGY,1.0,+,c13_0,1,/1,-,1,-0.1782,,Volume C13_EOS
ENERGY,1.0,+,c13_0,1,/1,-,1,-0.2785,,Volume C13_EOS
ENERGY,1.0,+,c13_0,1,/1,-,1,-0.401,,Volume C13_EOS
ENERGY,1.0,+,c23_0,1,/1,-,1,-0.401,,Volume C23_EOS
ENERGY,1.0,+,c23_0,1,/1,-,1,-0.2785,,Volume C23_EOS
ENERGY,1.0,+,c23_0,1,/1,-,1,-0.1782,,Volume C23_EOS
ENERGY,1.0,+,c23_0,1,/1,-,1,-0.1003,,Volume C23_EOS
ENERGY,1.0,+,c23_0,1,/1,-,1,-0.0446,,Volume C23_EOS
ENERGY,1.0,+,c23_0,1,/1,-,1,-0.0111,,Volume C23_EOS
ENERGY,1.0,+,c23_0,1,/1,-,1,-0.0001,,Volume C23_EOS
ENERGY,1.0,+,c23_0,1,/1,-,1,-0.0111,,Volume C23_EOS
ENERGY,1.0,+,c23_0,1,/1,-,1,-0.0446,,Volume C23_EOS
ENERGY,1.0,+,c23_0,1,/1,-,1,-0.1003,,Volume C23_EOS
ENERGY,1.0,+,c23_0,1,/1,-,1,-0.1782,,Volume C23_EOS
ENERGY,1.0,+,c23_0,1,/1,-,1,-0.2785,,Volume C23_EOS
ENERGY,1.0,+,c23_0,1,/1,-,1,-0.401,,Volume C23_EOS
ENERGY,1.0,+,c44_0,1,/1,-,1,-0.5592,,Volume C44_EOS
ENERGY,1.0,+,c44_0,1,/1,-,1,-0.3884,,Volume C44_EOS
ENERGY,1.0,+,c44_0,1,/1,-,1,-0.2485,,Volume C44_EOS
ENERGY,1.0,+,c44_0,1,/1,-,1,-0.1398,,Volume C44_EOS
ENERGY,1.0,+,c44_0,1,/1,-,1,-0.0621,,Volume C44_EOS
ENERGY,1.0,+,c44_0,1,/1,-,1,-0.0155,,Volume C44_EOS
ENERGY,1.0,+,c44_0,1,/1,-,1,-0.0001,,Volume C44_EOS
ENERGY,1.0,+,c44_0,1,/1,-,1,-0.0155,,Volume C44_EOS
ENERGY,1.0,+,c44_0,1,/1,-,1,-0.0621,,Volume C44_EOS
ENERGY,1.0,+,c44_0,1,/1,-,1,-0.1398,,Volume C44_EOS
ENERGY,1.0,+,c44_0,1,/1,-,1,-0.2485,,Volume C44_EOS
ENERGY,1.0,+,c44_0,1,/1,-,1,-0.3884,,Volume C44_EOS
ENERGY,1.0,+,c44_0,1,/1,-,1,-0.5592,,Volume C44_EOS
ENERGY,1.0,+,c55_0,1,/1,-,1,-0.5592,,Volume C55_EOS
ENERGY,1.0,+,c55_0,1,/1,-,1,-0.3884,,Volume C55_EOS
ENERGY,1.0,+,c55_0,1,/1,-,1,-0.2485,,Volume C55_EOS
ENERGY,1.0,+,c55_0,1,/1,-,1,-0.1398,,Volume C55_EOS
ENERGY,1.0,+,c55_0,1,/1,-,1,-0.0621,,Volume C55_EOS
ENERGY,1.0,+,c55_0,1,/1,-,1,-0.0155,,Volume C55_EOS
ENERGY,1.0,+,c55_0,1,/1,-,1,-0.0001,,Volume C55_EOS
ENERGY,1.0,+,c55_0,1,/1,-,1,-0.0155,,Volume C55_EOS
ENERGY,1.0,+,c55_0,1,/1,-,1,-0.0621,,Volume C55_EOS
ENERGY,1.0,+,c55_0,1,/1,-,1,-0.1398,,Volume C55_EOS
ENERGY,1.0,+,c55_0,1,/1,-,1,-0.2485,,Volume C55_EOS
ENERGY,1.0,+,c55_0,1,/1,-,1,-0.3884,,Volume C55_EOS
