section,weight,lit,inline_comment,group_comment,op1,id1,n1,op2,id2,n2,op3,id3,n3
ENERGY,1.0,-0.401,,Volume C13_EOS,+,c13_0,1,-,c13_c6,1,,,
ENERGY,1.0,-0.2785,,Volume C13_EOS,+,c13_0,1,-,c13_c5,1,,,
ENERGY,1.0,-0.1782,,Volume C13_EOS,+,c13_0,1,-,c13_c4,1,,,
ENERGY,1.0,-0.1003,,Volume C13_EOS,+,c13_0,1,-,c13_c3,1,,,
ENERGY,1.0,-0.0446,,Volume C13_EOS,+,c13_0,1,-,c13_c2,1,,,
ENERGY,1.0,-0.0111,,Volume C13_EOS,+,c13_0,1,-,c13_c1,1,,,
ENERGY,1.0,-0.0001,,Volume C13_EOS,+,c13_0,1,-,c13_0,1,,,
ENERGY,1.0,-0.0111,,Volume C13_EOS,+,c13_0,1,-,c13_e1,1,,,
ENERGY,1.0,-0.0446,,Volume C13_EOS,+,c13_0,1,-,c13_e2,1,,,
ENERGY,1.0,-0.1003,,Volume C13_EOS,+,c13_0,1,-,c13_e3,1,,,
ENERGY,1.0,-0.1782,,Volume C13_EOS,+,c13_0,1,-,c13_e4,1,,,
ENERGY,1.0,-0.2785,,Volume C13_EOS,+,c13_0,1,-,c13_e5,1,,,
ENERGY,1.0,-0.401,,Volume C13_EOS,+,c13_0,1,-,c13_e6,1,,,
ENERGY,1.0,-0.401,,Volume C23_EOS,+,c23_0,1,-,c23_c6,1,,,
ENERGY,1.0,-0.2785,,Volume C23_EOS,+,c23_0,1,-,c23_c5,1,,,
ENERGY,1.0,-0.1782,,Volume C23_EOS,+,c23_0,1,-,c23_c4,1,,,
ENERGY,1.0,-0.1003,,Volume C23_EOS,+,c23_0,1,-,c23_c3,1,,,
ENERGY,1.0,-0.0446,,Volume C23_EOS,+,c23_0,1,-,c23_c2,1,,,
ENERGY,1.0,-0.0111,,Volume C23_EOS,+,c23_0,1,-,c23_c1,1,,,
ENERGY,1.0,-0.0001,,Volume C23_EOS,+,c23_0,1,-,c23_0,1,,,
ENERGY,1.0,-0.0111,,Volume C23_EOS,+,c23_0,1,-,c23_e1,1,,,
ENERGY,1.0,-0.0446,,Volume C23_EOS,+,c23_0,1,-,c23_e2,1,,,
ENERGY,1.0,-0.1003,,Volume C23_EOS,+,c23_0,1,-,c23_e3,1,,,
ENERGY,1.0,-0.1782,,Volume C23_EOS,+,c23_0,1,-,c23_e4,1,,,
ENERGY,1.0,-0.2785,,Volume C23_EOS,+,c23_0,1,-,c23_e5,1,,,
ENERGY,1.0,-0.401,,Volume C23_EOS,+,c23_0,1,-,c23_e6,1,,,
ENERGY,1.0,-0.5592,,Volume C44_EOS,+,c44_0,1,-,c44_c6,1,,,
ENERGY,1.0,-0.3884,,Volume C44_EOS,+,c44_0,1,-,c44_c5,1,,,
ENERGY,1.0,-0.2485,,Volume C44_EOS,+,c44_0,1,-,c44_c4,1,,,
ENERGY,1.0,-0.1398,,Volume C44_EOS,+,c44_0,1,-,c44_c3,1,,,
ENERGY,1.0,-0.0621,,Volume C44_EOS,+,c44_0,1,-,c44_c2,1,,,
ENERGY,1.0,-0.0155,,Volume C44_EOS,+,c44_0,1,-,c44_c1,1,,,
ENERGY,1.0,-0.0001,,Volume C44_EOS,+,c44_0,1,-,c44_0,1,,,
ENERGY,1.0,-0.0155,,Volume C44_EOS,+,c44_0,1,-,c44_e1,1,,,
ENERGY,1.0,-0.0621,,Volume C44_EOS,+,c44_0,1,-,c44_e2,1,,,
ENERGY,1.0,-0.1398,,Volume C44_EOS,+,c44_0,1,-,c44_e3,1,,,
ENERGY,1.0,-0.2485,,Volume C44_EOS,+,c44_0,1,-,c44_e4,1,,,
ENERGY,1.0,-0.3884,,Volume C44_EOS,+,c44_0,1,-,c44_e5,1,,,
ENERGY,1.0,-0.5592,,Volume C44_EOS,+,c44_0,1,-,c44_e6,1,,,
ENERGY,1.0,-0.5592,,Volume C55_EOS,+,c55_0,1,-,c55_c6,1,,,
ENERGY,1.0,-0.3884,,Volume C55_EOS,+,c55_0,1,-,c55_c5,1,,,
ENERGY,1.0,-0.2485,,Volume C55_EOS,+,c55_0,1,-,c55_c4,1,,,
ENERGY,1.0,-0.1398,,Volume C55_EOS,+,c55_0,1,-,c55_c3,1,,,
ENERGY,1.0,-0.0621,,Volume C55_EOS,+,c55_0,1,-,c55_c2,1,,,
ENERGY,1.0,-0.0155,,Volume C55_EOS,+,c55_0,1,-,c55_c1,1,,,
ENERGY,1.0,-0.0001,,Volume C55_EOS,+,c55_0,1,-,c55_0,1,,,
ENERGY,1.0,-0.0155,,Volume C55_EOS,+,c55_0,1,-,c55_e1,1,,,
ENERGY,1.0,-0.0621,,Volume C55_EOS,+,c55_0,1,-,c55_e2,1,,,
ENERGY,1.0,-0.1398,,Volume C55_EOS,+,c55_0,1,-,c55_e3,1,,,
ENERGY,1.0,-0.2485,,Volume C55_EOS,+,c55_0,1,-,c55_e4,1,,,
ENERGY,1.0,-0.3884,,Volume C55_EOS,+,c55_0,1,-,c55_e5,1,,,
ENERGY,1.0,-0.5592,,Volume C55_EOS,+,c55_0,1,-,c55_e6,1,,,
ENERGY,1.0,-0.3679,,Volume C66_EOS,+,c66_0,1,-,c66_c6,1,,,
ENERGY,1.0,-0.2555,,Volume C66_EOS,+,c66_0,1,-,c66_c5,1,,,
ENERGY,1.0,-0.1635,,Volume C66_EOS,+,c66_0,1,-,c66_c4,1,,,
ENERGY,1.0,-0.092,,Volume C66_EOS,+,c66_0,1,-,c66_c3,1,,,
ENERGY,1.0,-0.0409,,Volume C66_EOS,+,c66_0,1,-,c66_c2,1,,,
ENERGY,1.0,-0.0102,,Volume C66_EOS,+,c66_0,1,-,c66_c1,1,,,
ENERGY,1.0,-0.0001,,Volume C66_EOS,+,c66_0,1,-,c66_0,1,,,
ENERGY,1.0,-0.0102,,Volume C66_EOS,+,c66_0,1,-,c66_e1,1,,,
ENERGY,1.0,-0.0409,,Volume C66_EOS,+,c66_0,1,-,c66_e2,1,,,
ENERGY,1.0,-0.092,,Volume C66_EOS,+,c66_0,1,-,c66_e3,1,,,
ENERGY,1.0,-0.1635,,Volume C66_EOS,+,c66_0,1,-,c66_e4,1,,,
ENERGY,1.0,-0.2555,,Volume C66_EOS,+,c66_0,1,-,c66_e5,1,,,
ENERGY,1.0,-0.3679,,Volume C66_EOS,+,c66_0,1,-,c66_e6,1,,,
ENERGY,1.0,-26.058,,heat of formation for ZnPt,+,bulk_0,1,-,Zn_metal,2,-,Pt_metal,4.0
ENERGY,1.0,-40.11,,Mengyi's ZnPt trainings on Jan 26 2025,+,Zn_Pt111_top,1,-,Pt111_slab,1,-,Zn_atom,1.0
ENERGY,0.5,-51.34,,Mengyi's ZnPt trainings on Jan 26 2025,+,Zn_Pt111_bridge,1,-,Pt111_slab,1,-,Zn_atom,1.0
ENERGY,0.5,-54.89,,Mengyi's ZnPt trainings on Jan 26 2025,+,Zn_Pt111_hcp1,1,-,Pt111_slab,1,-,Zn_atom,1.0
ENERGY,0.5,-54.69,,Mengyi's ZnPt trainings on Jan 26 2025,+,Zn_Pt111_hcp2,1,-,Pt111_slab,1,-,Zn_atom,1.0
ENERGY,0.25,-3.59,,Mengyi's ZnPt trainings on Jan 26 2025,+,Zn_Pt111_hcp1,1,-,Zn_Pt111_bridge,1,,,
